Year,"Crude Death Rate (per 1,000)","Crude Birth Rate (per 1,000)",,
1541,29.41,39.84,,
1546,31.24,37.06,,
1551,26.03,38.75,,
1556,33.3,32.2,,
1561,32.9,34.68,,
1566,24.79,37.18,,
1571,24.4,32.83,,
1576,22.49,33.8,,
1581,21.82,34.34,,
1586,24.92,32.77,,
1591,26.85,32.61,,
1596,24.98,31.2,,
1601,24.6,33.61,,
1606,22.82,34.2,,
1611,26.09,32.3,,
1616,26.03,31.83,,
1621,23.5,32.68,,
1626,28.12,31.59,,
1631,24.1,31.78,,
1636,26.52,31.64,,
1641,28.61,32.42,,
1646,24.44,30.68,,
1651,24.64,26.79,,
1656,28.7,28.92,,
1661,26.3,26.78,,
1666,31.04,30.04,,
1671,29.69,29.66,,
1676,26.93,29.75,,
1681,35.44,30.13,,
1686,31.41,32.87,,
1691,28.66,31.63,,
1696,28.99,31.56,,
1701,26.48,33.09,,
1706,27.47,31.23,,
1711,27.26,28.82,,
1716,26.33,32.1,,
1721,31.41,33.03,,
1726,31.56,32.86,,
1731,34.98,34.02,,
1736,27.74,35.51,,
1741,31.58,32.85,,
1746,27,33.49,,
1751,26.16,33.76,,
1756,25.9,32.82,,
1761,28.7,33.89,,
1766,28.07,34.28,,
1771,27.59,35.86,,
1776,25.48,36.28,,
1781,28.83,35.61,,
1786,27.04,37.57,,
1791,26.22,39.08,,
1796,26.66,38.74,,
1801,27.08,37.71,,
1806,24.7,40.51,,
1811,25.56,39.48,,
1816,25.53,41.92,,
1821,24.12,40.75,,
1826,23.4,38.91,,
1831,22,35.65,,
1836,22.31,35.58,,
1841,22.25,35.9,,
1846,22.95,34.92,,
1851,22.8,35.78,,
1856,22.4,35.91,,
1861,21.88,36.2,,
1862,21.4,35,,
1863,23,35.3,,
1864,23.7,35.4,,
1865,23.2,35.4,,
1866,23.4,35.2,,
1867,21.7,35.4,,
1868,21.8,35.8,,
1869,22.3,34.8,,
1870,22.9,35.2,,
1871,22.6,35,,
1872,21.3,35.6,,
1873,21,35.4,,
1874,22.2,36,,
1875,22.7,35.4,,
1876,20.9,36.3,,
1877,20.3,36,,
1878,21.6,35.6,,
1879,20.7,34.7,,
1880,20.5,34.2,,
1881,18.9,33.9,,
1882,19.6,33.8,,
1883,19.6,33.5,,
1884,19.7,33.6,,
1885,19.2,32.9,,
1886,19.5,32.8,,
1887,19.1,31.9,,
1888,18.1,31.2,,
1889,18.2,31.1,,
1890,19.5,30.2,,
1891,20.2,31.4,,
1892,19,30.4,,
1893,19.2,30.7,,
1894,16.6,29.6,,
1895,18.7,30.3,,
1896,17.1,29.6,,
1897,17.4,29.6,,
1898,17.5,29.3,,
1899,18.2,29.1,,
1900,18.2,28.7,,
1901,16.9,28.5,,
1902,16.3,28.5,,
1903,15.5,28.5,,
1904,16.3,28,,
1905,15.3,27.3,,
1906,15.5,27.2,,
1907,15.1,26.5,,
1908,14.8,26.7,,
1909,14.6,25.8,,
1910,13.5,25.1,,
1911,14.6,24.3,,
1912,13.3,23.9,,
1913,13.8,24.1,,
1914,14,23.8,,
1915,15.7,21.9,,
1916,14.3,20.9,,
1917,14.2,17.8,,
1918,17.3,17.7,,
1919,14,18.5,,
1920,12.4,25.5,,
1921,12.1,22.4,,
1922,12.7,20.4,,
1923,11.6,19.7,,
1924,12.2,18.8,,
1925,12.1,18.3,,
1926,11.6,17.8,,
1927,12.3,16.6,,
1928,11.7,16.7,,
1929,13.4,16.3,,
1930,11.4,16.3,,
1931,12.3,15.8,,
1932,12,15.3,,
1933,12.3,14.4,,
1934,11.8,14.8,,
1935,11.7,14.7,,
1936,12.1,14.8,,
1937,12.4,14.9,,
1938,11.6,15.1,,
1939,12.1,14.8,,
1940,14.4,14.1,,
1941,13.5,13.9,,
1942,12.3,15.6,,
1943,13,16.2,,
1944,12.7,17.7,,
1945,12.6,15.9,,
1946,12,19.2,,
1947,12.3,20.5,,
1948,11,17.8,,
1949,11.8,16.7,,
1950,11.6,15.8,,
1951,12.5,15.5,,
1952,11.3,15.3,,
1953,11.4,15.5,,
1954,11.3,15.2,,
1955,11.7,15,,
1956,11.7,15.7,,
1957,11.5,16.1,,
1958,11.7,16.4,,
1959,11.6,16.5,,
1960,11.5,17.1,,
1961,11.9,17.6,,
1962,11.9,18,,
1963,12.2,18.2,,
1964,11.3,18.5,,
1965,11.6,18.1,,
1966,11.8,17.8,,
1967,11.4,17.3,,
1968,11.8,16.9,,
1969,12,16.4,,
1970,11.8,16,,
1971,11.5,15.9,,
1972,12,14.7,,
1973,11.9,13.7,,
1974,11.8,12.9,,
