Year,UK
1750,5.74
1751,5.77
1752,5.81
1753,5.86
1754,5.9
1755,5.94
1756,5.99
1757,6.02
1758,6.04
1759,6.06
1760,6.1
1761,6.15
1762,6.17
1763,6.16
1764,6.19
1765,6.25
1766,6.28
1767,6.29
1768,6.31
1769,6.36
1770,6.41
1771,6.45
1772,6.5
1773,6.55
1774,6.6
1775,6.67
1776,6.74
1777,6.81
1778,6.88
1779,6.95
1780,6.99
1781,7.04
1782,7.07
1783,7.13
1784,7.14
1785,7.22
1786,7.29
1787,7.37
1788,7.46
1789,7.54
1790,7.65
1791,7.74
1792,7.84
1793,7.94
1794,8.02
1795,8.1
1796,8.2
1797,8.29
1798,8.4
1799,8.5
1800,8.61
1801,8.66
1802,9.13
1803,9.23
1804,9.37
1805,9.51
1806,9.66
1807,9.79
1808,9.92
1809,10.06
1810,10.19
1811,10.32
1812,10.48
1813,10.65
1814,10.82
1815,11
1816,11.2
1817,11.38
1818,11.55
1819,11.72
1820,11.9
1821,12.11
1822,12.32
1823,12.53
1824,12.72
1825,12.9
1826,13.7
1827,13.25
1828,13.44
1829,13.62
1830,13.8
1831,13.99
1832,14.16
1833,14.33
1834,14.52
1835,14.72
1836,14.93
1837,15.1
1838,15.29
1839,15.51
1840,15.73
1841,15.93
1842,16.13
1843,16.33
1844,16.53
1845,16.7
1846,16.94
1847,17.15
1848,17.36
1849,17.56
1850,17.77
1851,17.98
1852,18.19
1853,10.4
1854,18.62
1855,18.83
1856,19.04
1857,19.26
1858,19.47
1859,19.69
1860,19.9
1861,20.12
1862,20.37
1863,20.63
1864,20.88
1865,21.14
1866,21.41
1867,21.67
1868,21.95
1869,22.22
1870,22.5
1871,22.79
1872,23.1
1873,23.41
1874,23.72
1875,24.04
1876,24.37
1877,24.7
1878,25.03
1879,25.37
1880,25.71
1881,26.5
1882,26.33
1883,26.63
1884,26.92
1885,27.22
1886,27.52
1887,27.83
1888,28.14
1889,28.45
1890,28.76
1891,29.09
1892,29.42
1893,29.76
1894,30.1
1895,30.45
1896,30.8
1897,31.16
1898,31.52
1899,31.88
1900,32.25
1901,32.61
1902,32.95
1903,33.29
1904,33.64
1905,33.99
1906,34.34
1907,34.7
1908,35.06
1909,35.42
1910,35.79
1911,36.14
1912,36.33
1913,36.57
1914,36.97
1915,35.28
1916,34.64
1917,34.2
1918,34.02
1919,35.43
1920,37.25
1921,37.93
1922,38.2
1923,38.45
1924,38.79
1925,38.93
1926,39.11
1927,39.29
1928,39.48
1929,39.6
1930,39.8
1931,39.99
1932,40.2
1933,40.35
1934,40.47
1935,40.64
1936,40.84
1937,41.03
1938,41.21
1939,41.46
1940,41.86
1941,41.75
1942,41.9
1943,42.26
1944,42.45
1945,42.64
1946,42.7
1947,43.05
1948,43.5
1949,43.78
1950,44.02
1951,43.81
1952,43.95
1953,44.11
1954,44.27
1955,44.44
1956,44.67
1957,44.91
1958,45.11
1959,45.39
1960,45.77
1961,46.2
1962,46.66
1963,46.97
1964,47.32
1965,47.67
1966,47.97
1967,48.27
1968,48.51
1969,48.74
1970,48.89
1971,49.15
1972,49.33
1973,49.46
1974,49.47
1975,49.47
1976,49.46
1977,49.44
1978,49.44
1979,49.51
1980,49.6
1981,49.63
1982,49.6
1983,49.65
1984,49.76
1985,49.92
1986,50.07
1987,50.24
1988,50.39
1989,50.67
1990,50.87
1991,51.1
1992,51.28
1993,51.44
1994,51.39
1995,51.6
1996,51.8
1997,52
1998,52.23
1999,52.74
2000,52.1
2001,52.4
2002,52.6
2003,52.8
2004,53
