 Year,Population,Live Births,Deaths,Immigrations,Emigrations,Marriages,Divorces
1749,"1,764,724","59,483","49,516",..,..,"15,046",..
1750,"1,780,678","64,511","47,622",..,..,"16,374",..
1751,"1,802,132","69,291","46,902",..,..,"16,599",..
1752,"1,816,703","64,973","49,467",..,..,"16,761",..
1753,"1,837,869","66,007","43,905",..,..,"15,923",..
1754,"1,857,047","68,759","48,645",..,..,"17,457",..
1755,"1,875,029","70,008","51,090",..,..,"17,097",..
1756,"1,889,424","67,987","52,062",..,..,"16,005",..
1757,"1,892,990","61,675","56,579",..,..,"15,078",..
1758,"1,893,444","63,262","61,277",..,..,"15,273",..
1759,"1,905,866","63,865","49,912",..,..,"18,529",..
1760,"1,925,248","68,384","47,471",..,..,"18,705",..
1761,"1,942,257","67,324","49,893",..,..,"18,253",..
1762,"1,949,359","68,268","60,744",..,..,"17,428",..
1763,"1,952,238","68,231","64,180",..,..,"16,850",..
1764,"1,966,190","67,988","53,364",..,..,"17,219",..
1765,"1,976,824","65,872","54,566",..,..,"16,066",..
1766,"1,992,142","67,061","49,726",..,..,"16,419",..
1767,"2,009,596","70,744","51,272",..,..,"16,539",..
1768,"2,020,546","67,719","54,751",..,..,"17,039",..
1769,"2,030,491","66,954","54,991",..,..,"16,463",..
1770,"2,042,574","67,172","53,071",..,..,"16,537",..
1771,"2,050,680","65,988","56,827",..,..,"15,873",..
1772,"2,032,235","58,972","76,362",..,..,"13,928",..
1773,"1,977,205","51,164","105,139",..,..,"15,560",..
1774,"2,000,208","68,520","44,463",..,..,"17,433",..
1775,"2,020,847","71,642","49,949",..,..,"19,002",..
1776,"2,041,289","66,869","45,692",..,..,"18,310",..
1777,"2,057,147","67,693","51,096",..,..,"18,577",..
1778,"2,073,296","71,901","55,028",..,..,"18,692",..
1779,"2,089,624","76,387","59,325",..,..,"18,035",..
1780,"2,118,281","75,122","45,731",..,..,"17,938",..
1781,"2,132,912","71,130","54,313",..,..,"16,638",..
1782,"2,140,986","68,488","58,247",..,..,"16,415",..
1783,"2,143,570","64,969","60,213",..,..,"17,124",..
1784,"2,145,213","67,605","63,792",..,..,"16,031",..
1785,"2,149,773","67,497","60,770",..,..,"16,791",..
1786,"2,163,415","70,935","55,951",..,..,"17,297",..
1787,"2,178,403","68,328","51,998",..,..,"17,253",..
1788,"2,192,760","74,019","58,320",..,..,"17,235",..
1789,"2,188,962","70,127","72,583",..,..,"17,369",..
1790,"2,187,732","66,710","66,598",..,..,"18,063",..
1791,"2,202,319","71,613","55,946",..,..,"23,786",..
1792,"2,229,343","81,063","52,958",..,..,"22,191",..
1793,"2,250,919","77,033","54,376",..,..,"19,934",..
1794,"2,272,890","76,429","53,377",..,..,"18,509",..
1795,"2,281,137","72,947","63,619",..,..,"17,279",..
1796,"2,300,793","79,446","56,474",..,..,"19,747",..
1797,"2,322,814","80,374","55,036",..,..,"19,523",..
1798,"2,344,228","78,593","53,862",..,..,"19,349",..
1799,"2,356,993","75,274","59,192",..,..,"17,283",..
1800,"2,347,303","67,555","73,928",..,..,"17,528",..
1801,"2,354,952","70,629","61,317",..,..,"17,057",..
1802,"2,372,216","74,963","56,035",..,..,"18,500",..
1803,"2,388,619","74,644","56,577",..,..,"19,491",..
1804,"2,403,814","76,443","59,584",..,..,"19,335",..
1805,"2,422,039","76,552","56,663",..,..,"20,197",..
1806,"2,428,734","74,581","66,728",..,..,"19,492",..
1807,"2,439,599","75,842","63,818",..,..,"19,959",..
1808,"2,427,592","73,963","84,811",..,..,"19,762",..
1809,"2,394,101","64,300","96,532",..,..,"18,817",..
1810,"2,396,351","78,916","75,607",..,..,"25,780",..
1811,"2,411,382","84,862","69,246",..,..,"25,615",..
1812,"2,418,780","81,079","73,095",..,..,"22,054",..
1813,"2,423,949","72,021","66,266",..,..,"18,745",..
1814,"2,438,241","75,837","60,959",..,..,"18,281",..
1815,"2,465,066","85,239","57,829",..,..,"23,553",..
1816,"2,497,484","87,644","56,225",..,..,"23,069",..
1817,"2,521,442","83,821","60,863",..,..,"20,938",..
1818,"2,546,411","85,714","61,745",..,..,"21,427",..
1819,"2,561,780","84,250","69,881",..,..,"20,795",..
1820,"2,584,690","84,841","62,930",..,..,"21,722",..
